chr	start	stop	DmelID	chr.1	start.1	stop.1	CAD_CRMs	Meso	VM	SM	Dmel_Twi_TP1	Dmel_Twi_TP2	Dmel_Twi_TP3	Dmel_Tin_TP2	Dmel_Tin_TP3	Dmel_Mef2_TP1	Dmel_Mef2_TP2	Dmel_Mef2_TP3	Dmel_Mef2_TP4	Dmel_Mef2_TP5	Dmel_Bap_TP3	Dmel_Bin_TP3	Dmel_Bin_TP4	Dmel_Bin_TP5
2R	15158350	15158852	MesoCRM-1070	chr2R	15158308	15158886	Unspecified_1070	0	0	1	0.877128558	0.967865695	0.951243804	0.865437516	0.730799282	0.852995165	0.881035844	0.704335858	0.763683757	0.701856058	0.694904976	0.451362389	0.445359558	0.481599294
2R	15549509	15549709	MesoCRM-1108	chr2R	15549127	15549927	miR-309-6_8-miR	1	0	0	0.907869045	0.280812097	0.236511438	0.151674616	0.346452993	0.696261071	0.179193731	0.116099317	0.227286832	0.252745949	0.465682849	0.420386539	0.321917507	0.215554523
2R	18007143	18007343	MesoCRM-1277	chr2R	18007058	18008640	Vrp1_intronicCRM	0	1	0	0.25822009	0.23026592	0.330076402	0.127139016	0.289613049	0.509385805	0.226480965	0.29927824	0.315171074	0.334402332	0.494637223	0.639430051	0.169430267	0.133993352
2R	18007663	18007863	MesoCRM-1278	chr2R	18007058	18008640	Vrp1_intronicCRM	0	1	0	0.477502229	0.168487258	0.374259857	0.26096956	0.414119593	0.503357571	0.353409858	0.510836996	0.615189693	0.276076344	0.948255749	0.469062875	0.326758372	0.31653502
2R	18007948	18008273	MesoCRM-1279	chr2R	18007058	18008640	Vrp1_intronicCRM	0	1	0	0.323799795	0.338846597	0.376858884	0.23643396	0.530506146	0.590766969	0.440517922	0.644996207	0.590945764	0.318848736	0.75040086	0.517739211	0.319497075	0.21361259
2R	18933549	18933749	MesoCRM-1356	chr2R	18932606	18934003	twi_1.0kb_promoter	1	0	0	0.592266713	0.567240436	0.462626768	0.591084901	0.462839545	0.614879907	0.477849949	0.430857466	0.378811387	0.223582955	0.682840654	0.382773006	0.435677829	0.227206119
2R	18940891	18941241	MesoCRM-1361	chr2R	18940850	18941244	GJ1911	1	0	0	0.504143984	0.758192662	0.649756697	0.867668025	0.966279051	0.699275188	0.908412664	0.688855949	0.669738533	0.606590278	0.709382163	0.4845508	0.36548529	0.24274158
2R	19875382	19875582	MesoCRM-1423	chr2R	19875347	19875790	Phm_mesoderm	1	0	0	0.911967777	0.436194791	0.262501706	0.327884832	0.441186233	0.660091665	0.293678615	0.278638361	0.257591743	0.208029358	0.328149572	0.296483138	0.329178804	0.347605942
2R	20171363	20171637	MesoCRM-1439	chr2R	20171248	20171528	VT21795.2	0	1	0	0.192640384	0.237754242	0.174134795	0.252047524	0.568399442	0.479244633	0.286212209	0.134159211	0.278805181	0.375230524	0.489811494	0.513314089	0.830208307	0.8389149
2R	20196591	20197138	MesoCRM-1443	chr2R	20196542	20197420	betaTub60D_beta3-14/vm1_NR	0	1	0	0.405774426	0.333230355	0.545795625	0.40372214	0.719972626	0.663105782	0.559980409	0.735295676	0.942482731	0.69407926	0.921714239	1	0.917343873	0.961256656
2R	20932661	20933020	MesoCRM-1474	chr2R	20932562	20933018	gsb-n_2135	1	0	0	0.719327392	0.818099243	0.402849152	0.720454427	0.324799681	0.693246954	0.530114787	0.281218346	0.290927145	0.270243745	0.523591597	0.305333381	0.26382713	0.252451243
2R	21112811	21113011	MesoCRM-1499	chr2R	21111782	21113281	Kr_H/J	1	0	0	0.536933837	0.37628821	0.15334258	0.339037377	0.53321281	0.895192805	0.475361147	0.185758908	0.33032353	0.427723914	0.656299144	0.435874464	0.387269181	0.351489807
2R	21113209	21113641	MesoCRM-1500	chr2R	21111782	21115489	Kr_H/H	1	0	0	0.288960576	0.383776533	0.42883942	0.631234064	0.69561265	0.726402243	0.659532482	0.536636844	0.493970049	0.579371483	0.733510808	0.898299656	0.561540313	0.52237988
2R	21113800	21114033	MesoCRM-1501	chr2R	21111782	21115489	Kr_H/H	1	0	0	0.354540282	0.556007952	0.441834554	0.646847628	0.405999601	0.666119899	0.537581193	0.585656556	0.500031031	0.468552105	0.644234822	0.338521792	0.205736753	0.267986704
3R	174357	174557	MesoCRM-1511	chr3R	173891	174479	hkb_ventral_element_plus_NR	1	0	0	0.782857732	0.387520694	0.228714357	0.185132252	0.365399641	0.539526977	0.199104145	0.087719484	0.181829466	0.163312767	0.354691082	0.238956559	0.2541454	0.133993352
2R	3417460	3417937	MesoCRM-160	chr2R	3417396	3417963	Unspecified_160	0	1	0	0.465206034	0.471764323	0.483418983	0.631234064	0.698319314	0.524456391	0.502737967	0.583076571	0.581854291	0.69213506	0.94343002	0.991227207	1	0.893289014
3R	2302550	2302750	MesoCRM-1678	chr3R	2302000	2302930	Neurochondrin_VME	0	1	0	0.401675695	0.329486194	0.220917277	0.173979707	0.278786393	0.642006961	0.209059353	0.121259287	0.206073395	0.419947115	0.43431561	0.358434838	0.51797253	0.87581162
3R	2579866	2580066	MesoCRM-1690	chr3R	2579866	2580591	zen_0.7	1	0	0	0.5451313	0.234010081	0.21831825	0.109294944	0.397879609	0.684204602	0.358387462	0.371517815	0.33032353	0.34801173	0.431902746	0.278782652	0.258986265	0.238857714
3R	2689658	2689858	MesoCRM-1713	chr3R	2689374	2690119	ftz_zebra_element	1	0	0	0.799252658	0.350079081	0.291091	0.144983089	0.257133081	0.783670469	0.263812993	0.319918119	0.281835672	0.264411147	0.484985765	0.292058016	0.350962695	0.388386528
3R	2693998	2694198	MesoCRM-1716	chr3R	2693264	2694767	ftz_CE8024_NR	1	0	0	0.743919782	0.361311565	0.423641366	0.180671234	0.384346289	0.593781086	0.263812993	0.128999241	0.218195359	0.145814971	0.393296914	0.342946913	0.31465621	0.314593087
3R	4526697	4526897	MesoCRM-1836	chr3R	4526294	4527384	hb_lateDm1.0-lacZ	1	0	0	0.698833734	0.222777597	0.35606667	0.113755962	0.249013089	0.614879907	0.226480965	0.175438968	0.112128171	0.087488982	0.706969299	0.367285081	0.360644425	0.52237988
3R	4882775	4883105	MesoCRM-1885	chr3R	4882659	4883235	CG11033_2700	1	0	0	0.702932466	0.630891178	0.532800492	0.468406903	0.579226098	0.961503383	0.928323078	0.882354811	0.978848625	0.859336227	0.665950602	0.340734352	0.295292751	0.42722518
3R	6178509	6179081	MesoCRM-2000	chr3R	6178486	6179117	Unspecified_2000	1	0	0	0.754166611	0.615914533	0.540597572	0.548705229	0.284199721	0.898206923	0.567446815	0.397317663	0.272744199	0.316904536	0.665950602	0.420386539	0.503449936	0.258277041
3R	6420365	6420565	MesoCRM-2033	chr3R	6420318	6421129	VT39543.1	0	0	1	0.489798424	0.451171436	0.548394652	0.281044142	0.414119593	0.346623477	0.326033038	0.203818801	0.266683217	0.254690149	0.419838423	0.276570091	0.283190589	0.368967201
3R	6421212	6421486	MesoCRM-2034	chr3R	6421197	6421458	VT39543.2	0	0	1	0.463156669	0.409985662	0.454829688	0.359111959	0.381639625	0.63296461	0.35589866	0.621776344	0.775805721	0.79128924	0.43431561	0.568628108	0.629312419	0.334012414
3R	6423941	6424141	MesoCRM-2036	chr3R	6423568	6424236	VT39544.3	0	0	1	0.401675695	0.413729823	0.330076402	0.363572977	0.711852634	0.473216399	0.333499444	0.508257011	0.445482191	0.462719507	0.752813724	0.422599099	0.312235777	0.172832005
3R	6425861	6426061	MesoCRM-2038	chr3R	6425534	6426508	VT39546.1	0	0	1	0.858684266	0.453043517	0.358665697	0.40372214	0.598172746	0.596795204	0.298656218	0.361197876	0.351536967	0.456886908	0.588738938	0.369497642	0.392110046	0.495192823
3R	6426912	6427138	MesoCRM-2039	chr3R	6426538	6427699	VT39546.2	0	0	1	0.215183408	0.303277065	0.304086134	0.42825774	0.519679489	0.762571649	0.709308518	0.722395752	0.933391258	0.836005831	0.400535507	0.338521792	0.5082908	0.155354611
3R	6617976	6618289	MesoCRM-2067	chr3R	6616700	6618790	CG14687	0	0	1	0.430366816	0.49048513	0.465225795	0.312271268	0.446599561	0.46115993	0.281234605	0.314758149	0.500031031	0.59686928	0.552545971	0.557565304	0.651096311	0.601999118
3R	6618312	6618627	MesoCRM-2068	chr3R	6616700	6618790	CG14687	0	0	1	0.366836476	0.46240392	0.449631634	0.421566212	0.484492857	0.509385805	0.385764282	0.51857695	0.675799515	0.676581463	0.586326074	0.710231994	0.745493174	0.718515076
3R	6619244	6619535	MesoCRM-2069	chr3R	6619371	6620063	CG14687_SVM	0	0	1	0.274615016	0.108580678	0.272897813	0.310040759	0.69561265	0.795726938	0.694375707	0.763675509	0.981879116	0.896276019	0.550133106	0.72793248	0.563960745	0.502960553
3R	9119250	9119450	MesoCRM-2180	chr3R	9118956	9119462	WntD	1	0	0	0.858684266	0.673949033	0.296289054	0.33234585	0.159693176	0.623922258	0.423096309	0.110939348	0.321232056	0.258578548	0.427077017	0.300908259	0.445359558	0.200019062
3R	9254064	9254809	MesoCRM-2189	chr3R	9253810	9254673	VT41025.1	0	0	1	0.795153927	0.919191598	0.816094411	0.776217153	0.820119194	0.789698704	0.970632709	0.799795297	0.742470319	0.528822293	0.851741169	0.730145041	0.617210258	0.483541227
